Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent)
39.5971264839172,-105.70999455451971,0,0,0.0,3539,11611,4,34,Shrub,0
39.5969704923657,-105.70994825045818,18,58,0.011068674727175466,3540,11614,4,61,Shrub,0
39.59681450082293,-105.70990194639926,36,117,0.022137350073878202,3541,11617,4,68,Shrub,0
39.59668469231858,-105.70995604365754,51,167,0.03156788059434499,3541,11617,5,68,Shrub,0
39.59658243176304,-105.71011577602499,69,225,0.04263655258933941,3543,11624,6,57,Shrub,0
39.59646716507386,-105.71022622576807,85,277,0.05254743495234985,3544,11627,7,50,Shrub,0
39.596310918262056,-105.71018139506097,102,336,0.06361610986907398,3546,11634,8,53,Shrub,0
39.59615467145846,-105.71013656435622,120,394,0.07468478536808625,3546,11634,9,69,Shrub,0
39.59599746907696,-105.71009797462105,138,453,0.08575138703087375,3547,11637,9,76,Shrub,0
39.59583988537528,-105.71006187532797,156,511,0.09682006237781156,3546,11634,9,80,Shrub,0
39.5957002506574,-105.70999905016545,172,565,0.10704267984539292,3546,11634,8,82,Shrub,0
39.595651168148606,-105.70980139357593,190,624,0.11811135166899418,3544,11627,9,79,N/A,0
39.59560208565557,-105.70960373704985,208,682,0.12918002704508566,3541,11617,9,77,N/A,0
39.59557375469161,-105.7093995173527,226,740,0.14023998584775377,3539,11611,7,75,N/A,35
39.59554725694096,-105.70919471788805,244,799,0.15130866040527466,3537,11604,7,73,N/A,0
39.59551264226951,-105.70899230304678,261,857,0.16235991996004268,3536,11601,6,72,N/A,0
39.5954685929036,-105.70879265995295,279,916,0.17342859219482232,3535,11598,5,70,N/A,31
39.59542454355063,-105.70859301691777,297,974,0.18449726768261776,3533,11591,5,70,N/A,31
39.59537343984772,-105.70839623918485,315,1033,0.19556525871359362,3532,11588,5,70,Shrub,0
39.59532193058383,-105.70819962624563,333,1091,0.20663393203638866,3531,11585,6,69,Crops,30
39.59529994898538,-105.70800026407113,350,1148,0.217368259705009,3529,11578,5,67,Crops,30
39.59532930242064,-105.70779612210876,368,1206,0.2284369379541842,3527,11572,6,66,N/A,30
39.5953586558619,-105.7075919801046,385,1265,0.23950561393683076,3526,11568,6,66,N/A,30
39.59538566164839,-105.70738729673869,403,1323,0.2505740916102353,3524,11562,6,66,N/A,0
39.59541228340774,-105.70718252479054,421,1381,0.2616427686896246,3522,11555,6,66,Crops,33
39.5954300957757,-105.70697684039574,439,1440,0.2726748427835846,3520,11549,6,64,Crops,33
39.59542883751523,-105.70676918081494,457,1498,0.28374351832386807,3518,11542,6,64,Crops,20
39.59542757925477,-105.70656152123604,474,1557,0.29481219396445624,3517,11539,5,66,Crops,20
39.59538696146404,-105.70636280566143,492,1614,0.3057701124511955,3516,11535,5,65,Crops,24
39.59533377489849,-105.70616694625073,510,1673,0.3168387851282082,3515,11532,5,69,Crops,24
39.59527288233641,-105.70597614073698,528,1731,0.32784651485252914,3514,11529,4,70,Crops,32
39.59518292218148,-105.70580439862303,545,1789,0.3389151839240012,3513,11526,4,70,Crops,41
39.59509296206651,-105.70563265658537,563,1848,0.3499838579104911,3513,11526,3,71,Crops,41
39.59499140498893,-105.70547276744459,581,1906,0.3610280947743406,3512,11522,3,68,Crops,41
39.59488383820789,-105.70531902064913,599,1965,0.372096766213951,3512,11522,2,64,N/A,0
39.5947781533962,-105.70516336025919,617,2023,0.3831546853085354,3512,11522,2,80,N/A,0
39.59468884393989,-105.70499104837558,634,2082,0.3942233542280768,3511,11519,2,82,N/A,0
39.59459953452323,-105.70481873656843,652,2140,0.40529202806029474,3511,11519,1,83,N/A,0
39.59451695320824,-105.70464103926082,670,2198,0.41635266167744406,3511,11519,1,85,Crops,0
39.59443837367043,-105.70446013873718,688,2257,0.4274213328935078,3511,11519,0,82,N/A,0
39.59436083916454,-105.70427856924314,706,2315,0.4384858713496542,3511,11519,0,157,Crops,0
39.59429803120008,-105.70408757125291,723,2374,0.4495545407286272,3511,11519,1,217,Crops,0
39.59423522325972,-105.70389657333592,741,2432,0.46062321435243375,3511,11519,2,240,Crops,0
39.59417590932213,-105.70370376092882,759,2491,0.47168905008266077,3511,11519,5,247,Crops,0
39.59411983165161,-105.70350926783954,777,2549,0.4827577217088037,3512,11522,5,237,Crops,0
39.594063754001006,-105.7033147748193,795,2607,0.49382639726492744,3513,11526,3,201,Shrub,0
39.59403108013524,-105.70311155762695,813,2666,0.5048914380650179,3513,11526,4,200,Shrub,0
39.593999069287285,-105.70290809332735,830,2724,0.5159601122821913,3513,11526,4,182,N/A,0
39.59397081420909,-105.70270378059325,848,2783,0.5270242711440367,3512,11522,5,175,Shrub,0
39.59394795662007,-105.70249824850438,866,2841,0.5380929447500448,3511,11519,7,169,Shrub,0
39.59392509903474,-105.70229271644872,884,2900,0.549161620145296,3511,11519,10,161,Shrub,0
39.59394830889376,-105.7020887973344,901,2958,0.5601487458051732,3510,11516,11,156,Shrub,0
39.59397967348124,-105.70188516369464,919,3016,0.5712174230940592,3509,11512,14,155,Shrub,0
39.59401197815624,-105.70168178551198,937,3074,0.5822856881956349,3508,11509,16,158,Shrub,0
39.59404622731853,-105.70147893579878,955,3133,0.593354367105458,3507,11506,15,159,Shrub,0
39.5940804764889,-105.70127608603774,973,3191,0.604423043403676,3506,11503,13,161,Shrub,0
39.59411719549805,-105.70107397360246,991,3250,0.6154912777454865,3506,11503,10,157,Shrub,0
39.594154706555074,-105.70087209759363,1008,3308,0.6265599557417254,3506,11503,8,154,Shrub,0
39.59419143566308,-105.70066999198359,1026,3367,0.6376279850853319,3505,11499,7,155,Shrub,0
39.594224520498514,-105.7004668165626,1044,3425,0.6486966642359654,3505,11499,6,159,N/A,0
39.594257605341504,-105.70026364109515,1062,3484,0.6597653408568077,3505,11499,6,169,N/A,30
39.59427214760991,-105.70005770154089,1080,3542,0.6707881736223601,3504,11496,5,176,N/A,30
39.59427542309615,-105.69985008250654,1097,3600,0.6818568495287859,3504,11496,5,171,Shrub,0
39.594274803112626,-105.69964320460754,1115,3658,0.6928837860924042,3504,11496,4,172,Shrub,0
39.59422574283117,-105.69944554281724,1133,3717,0.7039524566333729,3504,11496,4,172,Shrub,0
39.594176682565454,-105.69924788109037,1151,3775,0.7150211307250283,3503,11493,3,166,Shrub,0
39.59413572620876,-105.69904737113265,1169,3834,0.726077684643302,3503,11493,4,156,Shrub,0
39.59410121243819,-105.6988445968126,1186,3892,0.7371463577820261,3502,11490,4,154,Shrub,0
39.59406828941465,-105.6986416370359,1204,3951,0.7482014991956356,3501,11486,4,151,Shrub,0
39.594074392674855,-105.69843412618869,1222,4009,0.7592701756102853,3501,11486,4,145,Shrub,0
39.59408049593533,-105.69822661533236,1240,4067,0.7703388515370481,3500,11483,3,139,Grassland,0
39.59409044668572,-105.6980194258741,1258,4126,0.7814037702103293,3500,11483,3,136,Grassland,0
39.59410489715129,-105.69781261229795,1275,4184,0.7924724471402378,3499,11480,4,135,Grassland,0
39.59411934761836,-105.69760579870042,1293,4243,0.8035411229247197,3497,11473,5,126,Grassland,0
