Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent)
42.011996162976374,-74.41417694353731,0,0,0.0,814,2671,9,299,Developed,46
42.011545437782814,-74.41478356422655,71,233,0.04409075845641835,809,2654,3,275,Developed,65
42.0110974250858,-74.41539293400822,142,465,0.08814952213910543,817,2680,15,355,Forest,83
42.01078837813435,-74.4161432409088,213,698,0.13224033565829846,828,2717,20,352,Forest,86
42.01055423914738,-74.41693840543527,284,930,0.17620004176805504,833,2733,18,349,Forest,85
42.01028058464861,-74.41770539083528,354,1161,0.21992871487712015,837,2746,19,341,Forest,77
42.01000699304997,-74.41848014144985,425,1394,0.2640157808659376,839,2753,24,335,Forest,85
42.00990738175326,-74.41903143603815,472,1548,0.293175692767366,833,2733,24,327,Forest,84
42.00944049926424,-74.41961548451467,543,1781,0.33726652128394985,840,2756,30,321,Forest,79
42.00895144488042,-74.4201636670683,614,2013,0.3812909755815951,847,2779,32,317,Forest,56
42.00842604423201,-74.4206246014975,683,2242,0.4246730239122363,850,2789,26,292,Forest,83
42.007796606893294,-74.42061958684278,754,2472,0.46821234012961427,850,2789,21,250,Forest,85
42.00716668919685,-74.42055133144974,824,2703,0.5119251217755886,842,2762,22,248,Forest,88
42.006584134288524,-74.42021717329568,894,2934,0.5557283866024326,841,2759,23,246,Forest,87
42.006024390867765,-74.41981892006932,965,3165,0.5995242186685577,845,2772,19,252,Forest,84
42.00543841344937,-74.41948677078881,1036,3398,0.6435052987008045,849,2785,14,258,Forest,85
42.00485757370659,-74.41914693316656,1106,3629,0.6873152054716741,852,2795,13,254,Forest,88
42.00423045553004,-74.41901849444494,1177,3861,0.7311928297484165,849,2785,7,255,Forest,88
42.00367368253827,-74.4186141943411,1247,4092,0.7749542199125259,852,2795,8,270,Forest,85
42.003683909305025,-74.41784877351813,1310,4300,0.8143038181474649,863,2831,11,243,Forest,89
42.003779528227284,-74.41700346277958,1381,4532,0.858253945513339,874,2867,8,229,Forest,89
42.0038166709841,-74.41615012391117,1452,4764,0.9021913394208374,882,2894,8,217,Forest,90
42.00384991363187,-74.41530652638382,1522,4993,0.9456137431748899,888,2913,8,221,Forest,89
42.00363652043933,-74.41454696652994,1589,5213,0.9873527720068673,895,2936,9,264,Forest,89
42.003291686947215,-74.41384410176146,1659,5442,1.0306443567917074,905,2969,12,250,Forest,90
42.00306149904105,-74.41304916414907,1729,5673,1.0744977292595068,916,3005,22,239,Forest,86
42.00289541361839,-74.41222426975604,1800,5905,1.118427198657004,934,3064,17,236,Forest,88
